"Demand Signals","Demand Signals"
"Top Demand-signal Products","Top Demand-signal Products"
"Unmet Search Demand","Unmet Search Demand"
"Composite Score","Composite Score"
"Events","Events"
"Unique Customers/Sessions","Unique Customers/Sessions"
"Unique Searchers","Unique Searchers"
"Search Query","Search Query"
"Product ID","Product ID"
"SKU","SKU"
"View","View"
"Open product","Open product"
"Reports","Reports"
